,group,p_1st,p_2nd,p_3rd,p_3rd_qualifies,p_advance,exp_pts,exp_gf,exp_gd
Mexico,A,1.0,0.0,0.0,0.0,1.0,9.0,6.0,6.0
South Africa,A,0.0,1.0,0.0,0.0,1.0,4.0,2.0,-1.0
South Korea,A,0.0,0.0,1.0,0.4018,0.4018,3.0,2.0,-1.0
Czech Republic,A,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-4.0
Switzerland,B,1.0,0.0,0.0,0.0,1.0,7.0,7.0,4.0
Canada,B,0.0,1.0,0.0,0.0,1.0,4.0,8.0,5.0
Bosnia and Herzegovina,B,0.0,0.0,1.0,1.0,1.0,4.0,5.0,-1.0
Qatar,B,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-8.0
Brazil,C,1.0,0.0,0.0,0.0,1.0,7.0,7.0,6.0
Morocco,C,0.0,1.0,0.0,0.0,1.0,7.0,6.0,3.0
Scotland,C,0.0,0.0,1.0,0.0013,0.0013,3.0,1.0,-3.0
Haiti,C,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-6.0
United States,D,1.0,0.0,0.0,0.0,1.0,6.0,8.0,4.0
Paraguay,D,0.0,0.0,1.0,1.0,1.0,4.0,2.0,-2.0
Australia,D,0.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0
Turkey,D,0.0,0.0,0.0,0.0,0.0,3.0,3.0,-2.0
Germany,E,1.0,0.0,0.0,0.0,1.0,6.0,10.0,6.0
Ivory Coast,E,0.0,1.0,0.0,0.0,1.0,6.0,4.0,2.0
Ecuador,E,0.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0
Curaçao,E,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-8.0
Netherlands,F,1.0,0.0,0.0,0.0,1.0,7.0,10.0,6.0
Japan,F,0.0,1.0,0.0,0.0,1.0,5.0,7.0,4.0
Sweden,F,0.0,0.0,1.0,1.0,1.0,4.0,7.0,0.0
Tunisia,F,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-10.0
Belgium,G,1.0,0.0,0.0,0.0,1.0,5.0,6.0,4.0
Egypt,G,0.0,1.0,0.0,0.0,1.0,5.0,5.0,2.0
Iran,G,0.0,0.0,1.0,0.9109,0.9109,3.0,3.0,0.0
New Zealand,G,0.0,0.0,0.0,0.0,0.0,1.0,4.0,-6.0
Spain,H,1.0,0.0,0.0,0.0,1.0,7.0,5.0,5.0
Cape Verde,H,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0
Uruguay,H,0.0,0.0,1.0,0.0,0.0,2.0,3.0,-1.0
Saudi Arabia,H,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-4.0
France,I,1.0,0.0,0.0,0.0,1.0,9.0,10.0,8.0
Norway,I,0.0,1.0,0.0,0.0,1.0,6.0,8.0,1.0
Senegal,I,0.0,0.0,1.0,1.0,1.0,3.0,8.0,2.0
Iraq,I,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-11.0
Argentina,J,0.9984,0.0016,0.0,0.0,1.0,8.4809,7.3197,6.7386
Algeria,J,0.0003,0.3779,0.6004,0.2888,0.667,4.42,3.2436,-1.8754
Austria,J,0.0013,0.6205,0.3666,0.146,0.7679,4.2943,4.119,-0.1246
Jordan,J,0.0,0.0,0.033,0.0096,0.0096,0.353,2.5811,-4.7386
Colombia,K,0.6439,0.3561,0.0,0.0,1.0,7.3798,5.3342,2.993
Portugal,K,0.3561,0.6418,0.002,0.002,1.0,5.3443,7.3412,5.007
DR Congo,K,0.0,0.002,0.6914,0.3767,0.3788,2.451,1.9665,-0.8313
Uzbekistan,K,0.0,0.0,0.3066,0.0002,0.0002,1.2344,1.7978,-7.1687
England,L,0.6906,0.3053,0.0041,0.0041,1.0,6.1367,5.7876,3.0623
Croatia,L,0.1983,0.3479,0.4281,0.3008,0.847,4.899,4.5159,-0.3357
Ghana,L,0.1111,0.3468,0.5421,0.5421,1.0,4.837,1.8516,0.3357
Panama,L,0.0,0.0,0.0257,0.0156,0.0156,0.6331,0.7253,-3.0623
