match,round,date,rank,p_pairing,home,away,p_home_advances,xg_home,xg_away,score_mode,p_score_mode
73,R32,2026-06-28,1,1.0,South Africa,Canada,0.361,0.75,1.18,0-1,0.1785
74,R32,2026-06-29,1,1.0,Germany,Bosnia and Herzegovina,0.8128,2.27,0.89,2-0,0.1077
75,R32,2026-06-29,1,1.0,Netherlands,Brazil,0.4647,1.41,1.54,1-1,0.1246
76,R32,2026-06-29,1,1.0,Morocco,Japan,0.5547,1.07,0.89,1-0,0.1517
77,R32,2026-06-30,1,1.0,France,Paraguay,0.7247,1.6,0.81,1-0,0.1461
78,R32,2026-06-30,1,1.0,Ivory Coast,Norway,0.3942,1.08,1.41,1-1,0.1308
79,R32,2026-06-30,1,1.0,Mexico,Ecuador,0.5559,0.87,0.73,0-0,0.1905
80,R32,2026-07-01,1,1.0,England,DR Congo,0.7677,1.52,0.67,1-0,0.1951
81,R32,2026-07-01,1,1.0,United States,Algeria,0.41,1.29,1.68,1-1,0.123
82,R32,2026-07-01,1,1.0,Belgium,Senegal,0.6127,1.67,1.27,1-1,0.122
83,R32,2026-07-02,1,1.0,Portugal,Croatia,0.6485,1.61,1.04,1-1,0.126
84,R32,2026-07-02,1,1.0,Spain,Austria,0.8321,1.91,0.68,1-0,0.1556
85,R32,2026-07-02,1,1.0,Switzerland,Sweden,0.7164,2.06,1.17,1-1,0.107
86,R32,2026-07-03,1,1.0,Argentina,Cape Verde,0.8971,2.2,0.57,2-0,0.1576
87,R32,2026-07-03,1,1.0,Colombia,Ghana,0.8131,1.66,0.59,1-0,0.1923
88,R32,2026-07-03,1,1.0,Australia,Egypt,0.5477,1.02,0.88,1-0,0.1579
89,Octavos,2026-07-04,1,0.5882,Germany,France,0.3886,1.46,1.86,1-1,0.1106
89,Octavos,2026-07-04,2,0.2246,Germany,Paraguay,0.6327,1.48,0.98,1-1,0.1293
89,Octavos,2026-07-04,3,0.1365,Bosnia and Herzegovina,France,0.1209,0.75,2.38,0-2,0.1254
89,Octavos,2026-07-04,4,0.0506,Bosnia and Herzegovina,Paraguay,0.3082,0.73,1.34,0-1,0.179
90,Octavos,2026-07-04,1,0.3416,Canada,Brazil,0.3025,0.89,1.57,0-1,0.1379
90,Octavos,2026-07-04,2,0.2974,Canada,Netherlands,0.3318,0.97,1.55,0-1,0.1272
90,Octavos,2026-07-04,3,0.1938,South Africa,Brazil,0.1904,0.68,1.79,0-1,0.1613
90,Octavos,2026-07-04,4,0.1672,South Africa,Netherlands,0.2139,0.74,1.77,0-1,0.1521
91,Octavos,2026-07-05,1,0.3365,Morocco,Norway,0.5798,1.34,1.03,1-1,0.1332
91,Octavos,2026-07-05,2,0.2693,Japan,Norway,0.5256,1.45,1.32,1-1,0.1293
91,Octavos,2026-07-05,3,0.2182,Morocco,Ivory Coast,0.6707,1.16,0.66,1-0,0.2021
91,Octavos,2026-07-05,4,0.176,Japan,Ivory Coast,0.6213,1.24,0.85,1-0,0.1569
92,Octavos,2026-07-05,1,0.427,Mexico,England,0.3695,0.96,1.38,0-1,0.1392
92,Octavos,2026-07-05,2,0.3407,Ecuador,England,0.3253,0.68,1.19,0-1,0.2034
92,Octavos,2026-07-05,3,0.1289,Mexico,DR Congo,0.6588,1.14,0.69,1-0,0.2019
92,Octavos,2026-07-05,4,0.1034,Ecuador,DR Congo,0.6018,0.86,0.59,1-0,0.2299
93,Octavos,2026-07-06,1,0.5398,Portugal,Spain,0.2947,0.83,1.5,0-1,0.1569
93,Octavos,2026-07-06,2,0.2923,Croatia,Spain,0.1788,0.71,1.92,0-1,0.144
93,Octavos,2026-07-06,3,0.1087,Portugal,Austria,0.6687,1.62,0.99,1-1,0.1246
93,Octavos,2026-07-06,4,0.0592,Croatia,Austria,0.5308,1.37,1.3,1-1,0.1313
94,Octavos,2026-07-06,1,0.3616,Algeria,Belgium,0.3732,1.2,1.64,1-1,0.1238
94,Octavos,2026-07-06,2,0.251,United States,Belgium,0.2972,1.16,2.03,1-1,0.1091
94,Octavos,2026-07-06,3,0.2283,Algeria,Senegal,0.4862,1.37,1.42,1-1,0.1289
94,Octavos,2026-07-06,4,0.159,United States,Senegal,0.4054,1.31,1.76,1-1,0.1193
95,Octavos,2026-07-07,1,0.4912,Argentina,Australia,0.7746,1.58,0.66,1-0,0.181
95,Octavos,2026-07-07,2,0.4059,Argentina,Egypt,0.8037,1.69,0.63,1-0,0.1825
95,Octavos,2026-07-07,3,0.0565,Cape Verde,Australia,0.2978,0.75,1.39,0-1,0.1701
95,Octavos,2026-07-07,4,0.0464,Cape Verde,Egypt,0.3433,0.82,1.32,0-1,0.1568
96,Octavos,2026-07-07,1,0.5823,Switzerland,Colombia,0.4191,1.05,1.31,1-1,0.1334
96,Octavos,2026-07-07,2,0.2308,Sweden,Colombia,0.2259,0.94,2.07,0-2,0.1049
96,Octavos,2026-07-07,3,0.134,Switzerland,Ghana,0.7647,1.64,0.74,1-0,0.1617
96,Octavos,2026-07-07,4,0.0529,Sweden,Ghana,0.5797,1.47,1.21,1-1,0.1295
