date,kickoff_utc,group,home,away,city,status,result,p_home,p_draw,p_away,xg_home,xg_away,xg_total,score_1,p_score_1,score_2,p_score_2,score_3,p_score_3,p_over_2.5,p_under_2.5,p_btts,elo_home,elo_away,attack_home,defense_home,attack_away,defense_away,model_version,frozen_at
2026-07-19,,H,Spain,Argentina,East Rutherford,jugado,1-0,0.4019,0.2914,0.3068,1.1817,1.0186,2.2003,1-1,0.1342,1-0,0.1325,0-0,0.1134,0.3784,0.6216,0.445,2329.1025,2251.4898,1.8885,0.399,1.9508,0.4372,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-29,,C,Brazil,Japan,Houston,jugado,2-1,0.4024,0.279,0.3186,1.338,1.2085,2.5466,1-1,0.133,1-0,0.1056,2-1,0.0913,0.4682,0.5318,0.5248,2075.1489,1984.3392,1.8243,0.57,1.6661,0.5036,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-29,,E,Germany,Paraguay,Foxborough,jugado,1-1,0.4774,0.2729,0.2496,1.4795,0.9815,2.4609,1-1,0.1293,1-0,0.1178,2-0,0.0933,0.4462,0.5538,0.4865,1996.766,1902.865,1.8859,0.6766,1.0354,0.5879,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-29,,F,Netherlands,Morocco,Guadalupe,jugado,1-1,0.3211,0.2893,0.3895,1.0429,1.222,2.2649,1-1,0.1346,0-1,0.1149,1-0,0.1111,0.3954,0.6046,0.4575,2053.3527,2039.1695,1.802,0.6264,1.5199,0.3947,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-30,,E,Ivory Coast,Norway,Arlington,jugado,1-2,0.2659,0.2748,0.4592,1.0864,1.4129,2.4993,1-1,0.1308,0-1,0.123,1-2,0.1013,0.4568,0.5432,0.511,1845.5126,2025.4733,1.305,0.5197,1.7876,0.6879,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-30,,I,France,Sweden,East Rutherford,jugado,3-0,0.6818,0.1938,0.1244,2.5683,1.1263,3.6946,2-1,0.0951,1-1,0.0824,2-0,0.0813,0.7108,0.2892,0.6385,2143.9726,1806.4585,1.9083,0.6061,1.4151,0.9703,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-30,,A,Mexico,Ecuador,Mexico City,jugado,2-0,0.4674,0.2988,0.2338,1.1302,0.7133,1.8435,1-0,0.1867,0-0,0.1527,1-1,0.1213,0.2816,0.7184,0.3403,2023.1697,1962.2449,1.3832,0.5243,1.0237,0.4345,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-07-01,,D,United States,Bosnia and Herzegovina,Santa Clara,jugado,2-0,0.6232,0.2188,0.158,2.2276,1.0896,3.3172,1-1,0.0991,2-1,0.0987,2-0,0.0887,0.6414,0.3586,0.6044,1860.6739,1681.6335,1.4104,0.8281,0.9855,0.877,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-07-01,,L,England,DR Congo,Atlanta,jugado,2-1,0.6149,0.2464,0.1388,1.5246,0.67,2.1947,1-0,0.1948,2-0,0.1323,1-1,0.1106,0.3778,0.6222,0.3975,2200.9698,1811.9717,1.7762,0.5554,1.0769,0.5392,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-07-01,,G,Belgium,Senegal,Seattle,jugado,3-2,0.47,0.2615,0.2686,1.6681,1.2693,2.9374,1-1,0.122,2-1,0.1004,1-0,0.0874,0.5614,0.4386,0.5962,2028.2272,1877.9078,1.8279,0.5938,1.6835,0.632,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
